,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
30,10,Marsh Turnpike,Howard,Lee,56,Husband,Married,Male,"Teacher, secondary school",None,Christian
31,10,Marsh Turnpike,Yvonne,Lee,27,Daughter,Divorced,Female,Secondary school teacher,None,Christian
32,11,Marsh Turnpike,Georgina,Jones,59,Head,Married,Female,Trading standards officer,None,None
33,11,Marsh Turnpike,Howard,Jones,58,Husband,Married,Male,Chief Executive Officer,None,None
34,12,Marsh Turnpike,Ronald,Buckley,56,Head,Divorced,Male,Economist,None,Christian
35,13,Marsh Turnpike,Emily,Lowe,55,Head,Single,Female,Unemployed,None,None
36,13,Marsh Turnpike,Andrea,King,41,None,Single,Female,"Surveyor, quantity",None,Christian
37,13,Marsh Turnpike,Dale,Reed,30,None,Single,Male,Unemployed,None,Christian
38,13,Marsh Turnpike,Ricky,Smith,37,None,Single,Male,Personnel officer,None,None
39,13,Marsh Turnpike,Christine,Taylor,36,None,Single,Female,Editorial assistant,None,Christian
40,14,Marsh Turnpike,David,Green,51,Head,Single,Male,Chief Executive Officer,None,None
41,14,Marsh Turnpike,Joe,Mann,54,None,Single,Male,Unemployed,None,Christian
42,14,Marsh Turnpike,Georgia,Baxter,24,None,Single,Female,Historic buildings inspector/conservation officer,None,None
43,15,Marsh Turnpike,June,Gill,33,Head,Married,Female,"Scientist, research (life sciences)",None,None
44,15,Marsh Turnpike,Benjamin,Gill,38,Husband,Married,Male,Quarry manager,None,None
45,15,Marsh Turnpike,Hilary,Brown,44,Lodger,Divorced,Female,Sports therapist,None,None
46,16,Marsh Turnpike,Paula,Davies-Green,41,Head,Single,Female,Public librarian,None,Catholic
47,16,Marsh Turnpike,Lawrence,Davies-Green,13,Son,NA,Male,Student,None,NA
48,16,Marsh Turnpike,Dominic,Davies-Green,9,Son,NA,Male,Student,None,NA
49,16,Marsh Turnpike,Gail,Davies-Green,6,Daughter,NA,Female,Student,None,NA
50,17,Marsh Turnpike,Jack,Jones,40,Head,Single,Male,Politician's assistant,None,Christian
51,17,Marsh Turnpike,Leon,Robson,36,None,Single,Male,"Production assistant, radio",None,None
52,17,Marsh Turnpike,Jay,Hudson,42,None,Single,Male,Politician's assistant,None,None
53,17,Marsh Turnpike,Clive,Riley,50,None,Single,Male,Unemployed,None,Methodist
54,18,Marsh Turnpike,William,Black,81,Head,Widowed,Male,Retired Midwife,None,Catholic
55,19,Marsh Turnpike,Zoe,Lowe,38,Head,Married,Female,Communications engineer,None,Christian
56,19,Marsh Turnpike,Joe,Lowe,40,Husband,Married,Male,"Psychologist, counselling",None,Christian
57,19,Marsh Turnpike,Victor,Barker-Lowe,13,Son,NA,Male,Student,None,NA
58,19,Marsh Turnpike,Susan,Barker-Lowe,9,Daughter,NA,Female,Student,None,NA
59,19,Marsh Turnpike,Steven,Barker-Lowe,6,Son,NA,Male,Student,None,NA
60,20,Marsh Turnpike,Charles,Williams-Barnes,78,Head,Married,Male,Retired Information officer,None,Christian
61,20,Marsh Turnpike,Natasha,Williams-Barnes,77,Wife,Married,Female,"Retired Scientist, biomedical",None,Christian
62,20,Marsh Turnpike,Eileen,Hilton,21,Granddaughter,Widowed,Female,"Editor, commissioning",None,None
63,20,Marsh Turnpike,Clare,Hilton,14,Granddaughter,NA,Female,Student,None,NA
64,20,Marsh Turnpike,Natalie,Hilton,13,Granddaughter,NA,Female,Student,None,NA
65,20,Marsh Turnpike,Abigail,Leonard,9,Granddaughter,NA,Female,Student,None,NA
66,21,Marsh Turnpike,Jean,Roberts,38,Head,Divorced,Female,Maintenance engineer,None,Christian
67,21,Marsh Turnpike,Jeremy,Roberts,0,Son,NA,Male,Child,None,NA
68,22,Marsh Turnpike,Judith,Thomson,42,Head,Single,Female,Unemployed,None,Christian
69,22,Marsh Turnpike,Annette,Thomson,9,Daughter,NA,Female,Student,None,NA
70,23,Marsh Turnpike,Deborah,Wood,28,Head,Married,Female,Consulting civil engineer,None,None
71,23,Marsh Turnpike,Declan,Wood,31,Husband,Married,Male,Retail banker,None,None
72,23,Marsh Turnpike,Andrew,Wood,5,Son,NA,Male,Student,None,NA
73,23,Marsh Turnpike,Joel,Bailey,40,Lodger,Single,Male,"Nurse, learning disability",None,None
74,23,Marsh Turnpike,Carole,Gibbons,56,Visitor,Single,Female,"Designer, ceramics/pottery",None,None
75,24,Marsh Turnpike,Karen,Wilkinson,56,Head,Single,Female,Firefighter,None,None
76,24,Marsh Turnpike,Grace,Wilkinson,19,Daughter,Single,Female,University Student,None,None
77,25,Marsh Turnpike,Graeme,Woodward,48,Head,Single,Male,Unemployed,None,Catholic
78,25,Marsh Turnpike,Lindsey,Gilbert,50,None,Single,Female,Mental health nurse,None,None
79,25,Marsh Turnpike,Ross,Mitchell,46,None,Single,Male,Information officer,None,Catholic
80,25,Marsh Turnpike,Vanessa,Mann,36,None,Single,Female,Aeronautical engineer,None,Christian
81,26,Marsh Turnpike,Ruth,Davis,85,Head,Married,Female,"Retired Engineer, maintenance",None,None
82,26,Marsh Turnpike,Keith,Davis,88,Husband,Married,Male,"Retired Administrator, charities/voluntary organisations",None,None
83,27,Marsh Turnpike,Ronald,Dodd,21,Head,Single,Male,University Student,None,Catholic
84,27,Marsh Turnpike,Rita,Williams,21,None,Single,Female,University Student,None,Christian
85,28,Marsh Turnpike,Victoria,Poole,62,Head,Married,Female,Probation officer,None,Christian
86,28,Marsh Turnpike,Douglas,Poole,63,Husband,Married,Male,Educational psychologist,None,Christian
87,28,Marsh Turnpike,Tina,Poole,18,Daughter,Single,Female,Student,None,None
88,28,Marsh Turnpike,Geoffrey,Poole,14,Son,NA,Male,Student,None,NA
89,28,Marsh Turnpike,Keith,Poole,10,Son,NA,Male,Student,None,NA
90,29,Marsh Turnpike,Mary,Reid,74,Head,Married,Female,Retired Print production planner,None,Christian
91,29,Marsh Turnpike,Billy,Reid,72,Husband,Married,Male,Retired Garment/textile technologist,None,Christian
92,30,Marsh Turnpike,Joel,Miller,36,Head,Single,Male,Magazine journalist,None,None
93,30,Marsh Turnpike,Barbara,Sullivan,39,Partner,Single,Female,IT technical support officer,None,None
94,31,Marsh Turnpike,Victoria,Robinson,43,Head,Married,Female,Industrial/product designer,None,Christian
95,31,Marsh Turnpike,Russell,Robinson,44,Husband,Married,Male,"Development worker, community",None,Christian
96,31,Marsh Turnpike,Sian,Robinson,13,Daughter,NA,Female,Student,None,NA
97,32,Marsh Turnpike,Hayley,Williams,32,Head,Married,Female,Social worker,None,None
98,32,Marsh Turnpike,Thomas,Williams,34,Husband,Married,Male,Exhibition designer,None,None
99,33,Marsh Turnpike,Leah,Turner,56,Head,Single,Female,Education administrator,None,None
100,33,Marsh Turnpike,Eleanor,Price,32,None,Single,Female,Press photographer,None,None
101,34,Marsh Turnpike,Rita,Barry,47,Head,Married,Female,Unemployed,None,None
102,34,Marsh Turnpike,Edward,Barry,50,Husband,Married,Male,"Accountant, chartered certified",None,None
103,34,Marsh Turnpike,Naomi,Barry,21,Daughter,Single,Female,University Student,None,None
104,34,Marsh Turnpike,Frances,Barry,19,Daughter,Single,Female,University Student,None,None
105,34,Marsh Turnpike,Charlene,Barry,16,Daughter,NA,Female,Student,None,NA
106,35,Marsh Turnpike,Cameron,Newman,79,Head,Widowed,Male,Retired Warden/ranger,None,Christian
107,35,Marsh Turnpike,Alice,Jones,15,Granddaughter,NA,Female,Student,None,NA
108,36,Marsh Turnpike,Rosie,Clark,36,Head,Single,Female,"Education officer, environmental",None,None
109,36,Marsh Turnpike,Lisa,Smith,47,None,Single,Female,International aid/development worker,None,None
110,36,Marsh Turnpike,Gerard,Griffiths,60,None,Single,Male,"Surveyor, hydrographic",None,Christian
111,36,Marsh Turnpike,Abbie,Martin,37,None,Single,Female,"Engineer, materials",None,None
112,36,Marsh Turnpike,Donna,Read,26,None,Single,Female,Retail merchandiser,None,None
113,37,Marsh Turnpike,Rosie,Lloyd,27,Head,Married,Female,Hospital doctor,None,None
114,37,Marsh Turnpike,Roy,Lloyd,30,Husband,Married,Male,Animal nutritionist,None,None
115,37,Marsh Turnpike,Anna,Matthews,60,Lodger,Single,Female,"Designer, exhibition/display",None,None
116,38,Marsh Turnpike,Julian,Smith,61,Head,Single,Male,Water quality scientist,None,None
117,39,Marsh Turnpike,Rachel,Stewart,33,Head,Single,Female,"Teacher, primary school",None,None
118,39,Marsh Turnpike,Karl,Stewart,6,Son,NA,Male,Student,None,NA
119,40,Marsh Turnpike,Olivia,Clarke,70,Head,Married,Female,Retired Licensed conveyancer,None,Christian
120,40,Marsh Turnpike,Nathan,Clarke,72,Husband,Married,Male,Retired Food technologist,None,None
121,41,Marsh Turnpike,Georgina,Gould,67,Head,Widowed,Female,"Producer, radio",None,Christian
122,41,Marsh Turnpike,Holly,Gould,40,Daughter,Single,Female,"Psychologist, sport and exercise",None,Christian
123,42,Marsh Turnpike,Shane,Taylor,61,Head,Married,Male,"Therapist, occupational",None,None
124,42,Marsh Turnpike,Denise,Taylor,61,Wife,Married,Female,Forensic psychologist,None,None
125,43,Marsh Turnpike,Clifford,Richardson,54,Head,Married,Male,IT consultant,None,Christian
126,43,Marsh Turnpike,Margaret,Richardson,52,Wife,Married,Female,"Conservation officer, historic buildings",None,Christian
127,44,Marsh Turnpike,Elizabeth,Farmer,31,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Catholic
128,44,Marsh Turnpike,Bradley,Thompson,38,Husband,Married,Male,"Horticulturist, amenity",None,Catholic
129,44,Marsh Turnpike,Jack,Farmer,14,Son,NA,Male,Student,None,NA
130,44,Marsh Turnpike,Bruce,Farmer,10,Son,NA,Male,Student,None,NA
131,44,Marsh Turnpike,Leah,Farmer,8,Daughter,NA,Female,Student,None,NA
132,45,Marsh Turnpike,Billy,Bradshaw,69,Head,Married,Male,"Retired Engineer, drilling",None,None
133,45,Marsh Turnpike,Marion,Bradshaw,68,Wife,Married,Female,Retired Animal technologist,None,None
134,46,Marsh Turnpike,Vanessa,Phillips,39,Head,Married,Female,Systems analyst,None,Muslim
135,46,Marsh Turnpike,Abdul,Phillips,42,Husband,Married,Male,Food technologist,None,Muslim
136,46,Marsh Turnpike,Mark,Phillips,2,Son,NA,Male,Child,None,NA
137,47,Marsh Turnpike,Leon,Dobson,81,Head,Divorced,Male,"Retired Engineer, technical sales",None,Catholic
138,48,Marsh Turnpike,Tony,Hicks,35,Head,Single,Male,Building control surveyor,None,None
139,48,Marsh Turnpike,Charlene,Ryan,34,Partner,Single,Female,Electronics engineer,None,None
140,49,Marsh Turnpike,Andrea,Hardy,22,Head,Married,Female,University Student,None,Catholic
141,49,Marsh Turnpike,Lee,James,25,Husband,Married,Male,Actor,None,Catholic
142,49,Marsh Turnpike,Gerald,Hardy,3,Son,NA,Male,Child,None,NA
143,50,Marsh Turnpike,Lynn,Williams,32,Head,Married,Female,"Administrator, Civil Service",None,None
144,50,Marsh Turnpike,Leigh,Williams,36,Husband,Married,Male,Unemployed,None,None
145,50,Marsh Turnpike,Ellie,Williams,11,Daughter,NA,Female,Student,None,NA
146,50,Marsh Turnpike,Lawrence,Williams,8,Adopted Son,NA,Male,Student,None,NA
147,51,Marsh Turnpike,Maureen,Rose,56,Head,Married,Female,Cartographer,None,Christian
148,51,Marsh Turnpike,Timothy,Rose,61,Husband,Married,Male,Unemployed,None,Christian
149,52,Marsh Turnpike,Terry,Turner,39,Head,Divorced,Male,Quantity surveyor,None,Catholic
150,52,Marsh Turnpike,Jean,Wright,14,Step-Daughter,NA,Female,Student,None,NA
151,53,Marsh Turnpike,Gordon,Dunn,56,Head,Single,Male,"Teacher, English as a foreign language",None,Christian
152,53,Marsh Turnpike,Carolyn,Woods,50,None,Single,Female,Photographer,None,None
153,53,Marsh Turnpike,Robert,Lane,40,None,Single,Male,"Teacher, primary school",None,Christian
154,53,Marsh Turnpike,Oliver,Williams,19,None,Single,Male,University Student,None,Christian
155,54,Marsh Turnpike,Lisa,Gibson,68,Head,Married,Female,Retired Broadcast presenter,None,Christian
156,54,Marsh Turnpike,Kieran,Gibson,64,Husband,Married,Male,Unemployed,None,Christian
157,55,Marsh Turnpike,Luke,Patel,37,Head,Single,Male,"Pharmacist, community",None,None
158,1,Cottinghamnail Road,Sean,Barnes,72,Head,Widowed,Male,Retired Communications engineer,None,None
159,1,Cottinghamnail Road,Clive,Barnes,40,Son,Divorced,Male,"Therapist, horticultural",None,None
160,1,Cottinghamnail Road,Toby,Barnes,37,Son,Single,Male,Community development worker,None,None
161,1,Cottinghamnail Road,Zoe,Barnes,35,Daughter,Single,Female,Primary school teacher,None,None
162,2,Cottinghamnail Road,Louise,Cook-Kaur,78,Head,Married,Female,"Retired Teacher, early years/pre",None,Muslim
163,2,Cottinghamnail Road,Leonard,Cook-Kaur,83,Husband,Married,Male,"Retired Accountant, chartered public finance",None,Muslim
164,3,Cottinghamnail Road,Bradley,Shah,44,Head,Married,Male,Environmental manager,None,None
165,3,Cottinghamnail Road,Hayley,Shah,45,Wife,Married,Female,"Social research officer, government",None,None
166,4,Cottinghamnail Road,Christopher,Hall,42,Head,Single,Male,"Scientist, research (life sciences)",None,Christian
167,5,Cottinghamnail Road,Jean,Lawrence,36,Head,Single,Female,"Editor, commissioning",None,Methodist
168,5,Cottinghamnail Road,Richard,Brennan,18,Lodger,Single,Male,Student,None,NA
169,6,Cottinghamnail Road,Leanne,Gill,37,Head,Widowed,Female,Chartered legal executive (England and Wales),None,Catholic
170,6,Cottinghamnail Road,Anna,Wright,25,Lodger,Single,Female,"Education officer, environmental",None,Christian
171,7,Cottinghamnail Road,Lisa,Marsh,30,Head,Married,Female,"Research officer, trade union",None,None
172,7,Cottinghamnail Road,David,Marsh,33,Husband,Married,Male,Medical secretary,None,None
173,7,Cottinghamnail Road,Beverley,Marsh,11,Daughter,NA,Female,Student,None,NA
174,7,Cottinghamnail Road,Jill,Marsh,10,Daughter,NA,Female,Student,None,NA
175,7,Cottinghamnail Road,Richard,Marsh,8,Son,NA,Male,Student,None,NA
176,8,Cottinghamnail Road,Jamie,Davies,40,Head,Single,Male,Tourist information centre manager,None,Methodist
177,9,Cottinghamnail Road,Rhys,Hill,27,Head,Single,Male,Industrial/product designer,None,Catholic
178,9,Cottinghamnail Road,Martin,Hill,11,Son,NA,Male,Student,None,NA
179,9,Cottinghamnail Road,Angela,Hill,7,Daughter,NA,Female,Student,None,NA
180,9,Cottinghamnail Road,Graeme,Hill,4,Son,NA,Male,Child,None,NA
181,9,Cottinghamnail Road,Ian,Hill,3,Son,NA,Male,Child,None,NA
182,10,Cottinghamnail Road,Claire,Dennis,56,Head,Married,Female,"Accountant, chartered public finance",None,Methodist
183,10,Cottinghamnail Road,Brandon,Dennis,60,Husband,Married,Male,Publishing rights manager,None,Methodist
184,10,Cottinghamnail Road,Terry,Dennis,22,Son,Single,Male,University Student,None,Methodist
185,10,Cottinghamnail Road,Jasmine,Dennis,20,Daughter,Single,Female,University Student,None,None
186,10,Cottinghamnail Road,Susan,Dennis,16,Daughter,NA,Female,Student,None,NA
187,11,Cottinghamnail Road,Amelia,Smith,56,Head,Married,Female,Magazine features editor,Blind,Christian
188,11,Cottinghamnail Road,Martyn,Smith,62,Husband,Married,Male,Patent attorney,None,None
189,12,Cottinghamnail Road,Eleanor,Bell,44,Head,Single,Female,Company secretary,None,Christian
190,12,Cottinghamnail Road,Melanie,Farmer,32,None,Single,Female,Research scientist (medical),None,Christian
191,13,Cottinghamnail Road,Thomas,Hall,89,Head,Widowed,Male,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
192,14,Cottinghamnail Road,Mark,Osborne,70,Head,Married,Male,Retired Retail buyer,None,None
193,14,Cottinghamnail Road,Lauren,Osborne,70,Wife,Married,Female,"Retired Restaurant manager, fast food",None,None
194,15,Cottinghamnail Road,Sally,Thompson,58,Head,Married,Female,Ecologist,None,Christian
195,15,Cottinghamnail Road,Declan,Thompson,63,Husband,Married,Male,Forensic psychologist,None,Christian
196,15,Cottinghamnail Road,Anthony,Thompson,23,Son,Single,Male,Careers adviser,None,Christian
197,15,Cottinghamnail Road,Roger,Thompson,15,Son,NA,Male,Student,None,NA
198,15,Cottinghamnail Road,Kyle,Thompson,12,Son,NA,Male,Student,None,NA
199,16,Cottinghamnail Road,Kerry,Hammond,46,Head,Married,Female,Conference centre manager,None,None
200,16,Cottinghamnail Road,Geoffrey,Hammond,52,Husband,Married,Male,Site engineer,None,None
201,16,Cottinghamnail Road,Alexandra,Hammond,16,Daughter,NA,Female,Student,None,NA
202,17,Cottinghamnail Road,Kenneth,Brown,76,Head,Widowed,male,Retired Television floor manager,None,Methodist
203,18,Cottinghamnail Road,Barbara,Carr,50,Head,Married,Female,Unemployed,None,Catholic
204,18,Cottinghamnail Road,Robin,Carr,52,Husband,Married,Male,Community pharmacist,None,Catholic
205,18,Cottinghamnail Road,Ben,Carr,7,Son,NA,Male,Student,None,NA
206,19,Cottinghamnail Road,Aimee,Hicks,35,Head,Single,Female,"Designer, textile",None,Christian
207,19,Cottinghamnail Road,Jake,Pearson,54,None,Single,Male,English as a foreign language teacher,None,None
208,19,Cottinghamnail Road,Kimberley,Thomson,50,None,Single,Female,Web designer,None,Methodist
209,20,Cottinghamnail Road,Michael,Hamilton,83,Head,Widowed,Male,Retired Adult nurse,None,Methodist
210,21,Cottinghamnail Road,Jade,Berry,46,Head,Single,Female,Unemployed,None,None
211,21,Cottinghamnail Road,Joel,Berry,11,Son,NA,Male,Student,None,NA
212,21,Cottinghamnail Road,Dominic,Berry,10,Son,NA,Male,Student,None,NA
213,21,Cottinghamnail Road,Glen,Williamson-Berry,6,Son,NA,Male,Student,None,NA
214,22,Cottinghamnail Road,Cameron,Saunders,104,Head,Married,Male,"Retired Radiographer, therapeutic",None,Catholic
215,22,Cottinghamnail Road,Lorraine,Saunders,101,Wife,Married,Female,Retired Editorial assistant,None,Catholic
216,23,Cottinghamnail Road,Louis,Bird,24,Head,Married,Male,"Engineer, civil (contracting)",None,None
217,23,Cottinghamnail Road,Barbara,Bird,21,Wife,Married,Female,University Student,None,None
218,24,Cottinghamnail Road,Dorothy,Warner,46,Head,Single,Female,"Radiographer, therapeutic",None,Methodist
219,25,Cottinghamnail Road,Katy,Swift,34,Head,Married,Female,Oceanographer,None,Methodist
220,25,Cottinghamnail Road,Aaron,Swift,39,Husband,Married,Male,Nutritional therapist,None,Methodist
221,25,Cottinghamnail Road,Maria,Swift,8,Daughter,NA,Female,Student,None,NA
222,26,Cottinghamnail Road,Kathleen,Berry,22,Head,Single,Female,University Student,None,None
223,26,Cottinghamnail Road,Mark,Edwards,20,None,Single,Male,University Student,None,Catholic
224,27,Cottinghamnail Road,Sam,Stephenson,70,Head,Married,Male,Retired Technical sales engineer,None,None
225,27,Cottinghamnail Road,Chloe,Stephenson,66,Wife,Married,Female,Investment analyst,None,None
226,28,Cottinghamnail Road,Allan,Briggs,57,Head,Married,Male,Oceanographer,None,None
227,28,Cottinghamnail Road,Julie,Briggs,62,Wife,Married,Female,Physiological scientist,None,None
228,29,Cottinghamnail Road,Darren,Young,27,Head,Divorced,Male,Systems developer,None,None
229,1,Bradford Avenue,Lindsey,Patel,46,Head,Widowed,Female,"Psychotherapist, child",None,None
230,1,Bradford Avenue,Marcus,Patel,15,Son,NA,Male,Student,None,NA
231,1,Bradford Avenue,Stanley,Patel,14,Son,NA,Male,Student,None,NA
232,1,Bradford Avenue,Billy,Patel,12,Son,NA,Male,Student,None,NA
233,1,Bradford Avenue,Carol,Patel,8,Daughter,NA,Female,Student,None,NA
234,2,Bradford Avenue,Geoffrey,May,56,Head,Married,Male,Chief Executive Officer,None,Christian
235,2,Bradford Avenue,Donna,May,49,Wife,Married,Female,Press photographer,None,Christian
236,3,Bradford Avenue,Kim,Gordon,71,Head,Widowed,Female,Retired Corporate treasurer,None,Christian
237,4,Bradford Avenue,Sharon,Scott,48,Head,Single,Female,Immigration officer,None,Methodist
238,4,Bradford Avenue,Sharon,Green,51,Cousin,Single,Female,Adult nurse,None,Methodist
239,5,Bradford Avenue,Jemma,Johnson,28,Head,Married,Female,Fashion designer,None,None
240,5,Bradford Avenue,Cameron,Johnson,29,Husband,Married,Male,"Engineer, control and instrumentation",None,None
241,5,Bradford Avenue,Dennis,Johnson,3,Son,NA,Male,Child,None,NA
242,6,Bradford Avenue,Carole,Farrell,69,Head,Widowed,Female,Retired Barista,None,None
243,7,Bradford Avenue,Ellie,Thompson,54,Head,Divorced,Female,Barrister's clerk,None,None
244,7,Bradford Avenue,Liam,Thompson,38,Son,Single,Male,Barrister's clerk,None,None
245,7,Bradford Avenue,Clare,Thompson,32,Daughter,Widowed,Female,Minerals surveyor,None,None
246,7,Bradford Avenue,Hollie,Thompson,28,Daughter,Single,Female,"Engineer, petroleum",None,None
247,7,Bradford Avenue,Lewis,Thompson,24,Son,Single,Male,Emergency planning/management officer,None,None
248,8,Bradford Avenue,Caroline,Bell,33,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
249,8,Bradford Avenue,Adrian,Bell,35,Husband,Married,Male,"Journalist, newspaper",None,Christian
250,8,Bradford Avenue,Molly,Bell,9,Daughter,NA,Female,Student,None,NA
251,8,Bradford Avenue,Jacqueline,Bell,4,Daughter,NA,Female,Child,None,NA
252,9,Bradford Avenue,Marie,Taylor,50,Head,Married,Female,Human resources officer,None,Catholic
253,9,Bradford Avenue,Jason,Taylor,52,Husband,Married,Male,Psychotherapist,None,None
254,10,Bradford Avenue,Fiona,Rowe,45,Head,Married,Female,Hospital pharmacist,None,Christian
255,10,Bradford Avenue,Roger,Rowe,49,Husband,Married,Male,Social researcher,None,Christian
256,10,Bradford Avenue,Barry,Rowe,8,Son,NA,Male,Student,None,NA
257,11,Bradford Avenue,Diane,King,38,Head,Married,Female,Equality and diversity officer,None,Christian
258,11,Bradford Avenue,Wayne,King,42,Husband,Married,Male,Wellsite geologist,None,Christian
259,11,Bradford Avenue,Graeme,King,16,Adopted Son,NA,Male,Student,None,NA
260,11,Bradford Avenue,Karen,King,7,Daughter,NA,Female,Student,None,NA
261,12,Bradford Avenue,Kenneth,Butler,25,Head,Single,Male,"Buyer, retail",None,Christian
262,12,Bradford Avenue,Jemma,Turner,25,Partner,Single,Female,"Journalist, newspaper",None,Christian
263,13,Bradford Avenue,Carly,Collins,58,Head,Divorced,Female,Ranger/warden,None,None
264,14,Bradford Avenue,Adrian,Brown,48,Head,Married,Male,"Engineer, agricultural",None,Catholic
265,14,Bradford Avenue,Brenda,Brown,46,Wife,Married,Female,Unemployed,None,Catholic
266,14,Bradford Avenue,Malcolm,Brown,24,Son,Single,Male,"Editor, commissioning",None,Catholic
267,15,Bradford Avenue,Kevin,Brennan,58,Head,Single,Male,Museum/gallery conservator,None,Christian
268,15,Bradford Avenue,Edward,Brennan,26,Son,Single,Male,Armed forces logistics/support/administrative officer,None,Christian
269,16,Bradford Avenue,Naomi,Stevens,39,Head,Single,Female,Unemployed,None,Christian
270,16,Bradford Avenue,Shane,Stevens,10,Son,NA,Male,Student,None,NA
271,17,Bradford Avenue,Luke,Hill,25,Head,Single,Male,Amenity horticulturist,None,Jewish
272,17,Bradford Avenue,Megan,Woodward,20,Partner,Single,Female,University Student,None,None
273,18,Bradford Avenue,Irene,Smith,53,Head,Married,Female,Water engineer,None,Methodist
274,18,Bradford Avenue,Mathew,Smith,51,Husband,Married,Male,Unemployed,None,Methodist
275,18,Bradford Avenue,Stephen,Smith,13,Son,NA,Male,Student,None,NA
276,19,Bradford Avenue,June,Hunter,54,Head,Divorced,Female,Unemployed,None,Methodist
277,19,Bradford Avenue,Callum,Hunter,23,Son,Single,Male,Exercise physiologist,None,Methodist
278,20,Bradford Avenue,Gemma,Evans,62,Head,Single,Female,"Scientist, research (physical sciences)",None,None
279,20,Bradford Avenue,Marcus,Woods,64,Partner,Single,Male,Glass blower/designer,None,None
280,21,Bradford Avenue,Francis,Knowles,18,Head,Married,Male,Student,None,NA
281,21,Bradford Avenue,Geraldine,Knowles,19,Wife,Married,Female,University Student,None,NA
282,22,Bradford Avenue,Teresa,Wallis,76,Head,Married,Female,"Retired Runner, broadcasting/film/video",None,Christian
283,22,Bradford Avenue,Gerard,Wallis,78,Husband,Married,Male,Retired Hospital doctor,None,None
284,23,Bradford Avenue,Joanna,North,53,Head,Single,Female,"Accountant, chartered",None,Christian
285,23,Bradford Avenue,Gareth,Brown,5,Grandson,NA,Male,Student,None,NA
286,24,Bradford Avenue,Marie,Smith,53,Head,Married,Female,Television floor manager,None,Catholic
287,24,Bradford Avenue,Josh,Smith,55,Husband,Married,Male,Merchant navy officer,None,None
288,24,Bradford Avenue,Benjamin,Smith,5,Son,NA,Male,Student,None,NA
289,24,Bradford Avenue,Mathew,Smith,5,Son,NA,Male,Student,None,NA
